konto 1 (Doris Kruth, id 4111194444, kundnr 1): 499150.0
konto 148 (Jan Efternamn1094, id 197702112397, kundnr 148): 212104.0
konto 149 (Pontus Efternamn3621, id 197702222394, kundnr 149): 215006.0
konto 150 (Ragna Sabina Efternamn3072, id 197702272381, kundnr 150): 215020.0
konto 151 (Frans Efternamn2775, id 197703012398, kundnr 151): 212104.0
konto 152 (Stefan Efternamn2719, id 197703182399, kundnr 152): 215028.0
konto 153 (Cornelia Efternamn3447, id 197703282389, kundnr 153): 215028.0
konto 154 (Joachim Valentin Efternamn1097, id 197704022396, kundnr 154): 324024.0
konto 155 (Janet Efternamn2223, id 197704032387, kundnr 155): 215028.0
konto 156 (Karin Selin Efternamn3903, id 197704152383, kundnr 156): 215024.0
konto 157 (Karl Håkan Oskar Efternamn2152, id 194010017053, kundnr 157): 215025.0
konto 158 (Pentti Efternamn1866, id 194010126672, kundnr 158): 215020.0
konto 159 (Eila Efternamn2600, id 194011306125, kundnr 159): 215002.0
konto 160 (Pagelle Efternamn1961, id 194012019149, kundnr 160): 325010.0
konto 161 (Urban Erik Efternamn3537, id 194101012393, kundnr 161): 215024.0
konto 162 (Göran Gustav Efternamn3076, id 194105039038, kundnr 162): 325016.0
konto 163 (Knut Einar Efternamn1375, id 194111299055, kundnr 163): 325010.0
konto 164 (John Adolf Efternamn1236, id 194206044739, kundnr 164): 212103.0
konto 165 (Ludvig Ferdinand Efternamn1867, id 194209177072, kundnr 165): 215027.0
konto 166 (Ulla Efternamn2386, id 194306134760, kundnr 166): 215020.0
konto 167 (Nils Efternamn3617, id 194309094714, kundnr 167): 215027.0
konto 168 (Anita Kristine Efternamn3890, id 194312298245, kundnr 168): 215025.0
konto 169 (Malte Efternamn2064, id 194401127495, kundnr 169): 215029.0
konto 170 (Josefin Efternamn2889, id 194401152204, kundnr 170): 215020.0
konto 171 (Eva Lena Efternamn1666, id 194401254406, kundnr 171): 215020.0
konto 172 (Nils Torsten Efternamn3618, id 194605076654, kundnr 172): 215032.0
konto 173 (Marion Efternamn3152, id 194606109108, kundnr 173): 215020.0
konto 174 (Clark Efternamn2060, id 194709201836, kundnr 174): 325015.0
konto 175 (Laban Efternamn2618, id 194804032094, kundnr 175): 215020.0
konto 176 (Helena Efternamn2360, id 194807073103, kundnr 176): 215024.0
konto 177 (Ingrid Ann-Katrin Marga Efternamn2722, id 194811092529, kundnr 177): 215032.0
konto 178 (Johan Thorsten Efternamn3418, id 194811172115, kundnr 178): 325010.0
konto 179 (Diaz De Monte Negro Efternamn2065, id 194904202621, kundnr 179): 215024.0
konto 180 (Finn Efternamn1773, id 194906062213, kundnr 180): 212103.0
konto 181 (Jan Christer Efternamn2854, id 194907282315, kundnr 181): 325010.0
konto 182 (Hilda Matilda Efternamn3051, id 195001182061, kundnr 182): 324024.0
konto 183 (Emil Robert Jean Efternamn3831, id 195001232296, kundnr 183): 325016.0
konto 184 (Tina Efternamn3355, id 195006262546, kundnr 184): 212104.0
konto 185 (Allan Arvid Albin Efternamn3053, id 195006272354, kundnr 185): 325015.0
konto 186 (Göran Bertil Efternamn1945, id 195011132098, kundnr 186): 215025.0
konto 187 (Anna Maria Efternamn2696, id 195204082308, kundnr 187): 215020.0
konto 188 (Anita Birgitta Efternamn1490, id 195211231864, kundnr 188): 215024.0
konto 189 (Chris Sally Gloria Efternamn3027, id 195304162349, kundnr 189): 324023.0
konto 190 (Rahima Efternamn2231, id 195401109227, kundnr 190): 215020.0
konto 191 (Isa Efternamn2245, id 195401166086, kundnr 191): 215027.0
konto 192 (Ivan Efternamn2246, id 195401179097, kundnr 192): 215020.0
konto 193 (Cecilia Johanna Efternamn3743, id 195401263826, kundnr 193): 215020.0
konto 194 (Teodor Efternamn2497, id 195402262579, kundnr 194): 215020.0
konto 195 (Elliot David Efternamn1491, id 195410062656, kundnr 195): 215020.0
konto 196 (Christine Efternamn2741, id 195508012647, kundnr 196): 215020.0
konto 197 (Susanne Margareta Efternamn2419, id 195510152167, kundnr 197): 215027.0
konto 198 (Mia Sofie Efternamn2776, id 195601222861, kundnr 198): 325015.0
konto 199 (Per Uno Efternamn1627, id 195609082895, kundnr 199): 215002.0
konto 200 (Ture Nils Efternamn2972, id 195705172590, kundnr 200): 215032.0
konto 201 (Stig Efternamn2317, id 195708182810, kundnr 201): 215020.0
konto 202 (Håkan Gunnar Efternamn3265, id 195803193258, kundnr 202): 215024.0
konto 203 (Riitta Leena Efternamn3403, id 195911149820, kundnr 203): 215025.0
konto 204 (Rutger Efternamn2799, id 196001209136, kundnr 204): 324023.0
konto 205 (Grite Maria Efternamn1877, id 196005272809, kundnr 205): 212103.0
konto 206 (Märta Fredrika Efternamn2956, id 196202252760, kundnr 206): 324024.0
konto 207 (Thomas Micael Efternamn2054, id 196207213098, kundnr 207): 212103.0
konto 208 (Sofia Karolina Efternamn1667, id 196210012842, kundnr 208): 215032.0
konto 209 (Marie Efternamn2607, id 196401222861, kundnr 209): 215002.0
konto 210 (Knut Bo Efternamn1422, id 196408073416, kundnr 210): 215002.0
konto 211 (Karin Margaretha Efternamn3277, id 196410102880, kundnr 211): 215032.0
konto 212 (Gunilla Efternamn2704, id 196604072683, kundnr 212): 212104.0
konto 213 (Fred Teofil Efternamn2676, id 196608253081, kundnr 213): 215006.0
konto 214 (Torkel Efternamn1852, id 196611233153, kundnr 214): 215020.0
konto 215 (Åke Paul Gösta Efternamn3277, id 196612193273, kundnr 215): 215032.0
konto 216 (Karen Efternamn1854, id 196711222940, kundnr 216): 215020.0
konto 217 (Anna Efternamn1852, id 196712032884, kundnr 217): 215020.0
konto 218 (Lena Eva Efternamn2339, id 196802169265, kundnr 218): 324024.0
konto 219 (Ulf Peter Efternamn3047, id 196805229272, kundnr 219): 324024.0
konto 220 (Filip Bernard Efternamn1472, id 196810292398, kundnr 220): 215032.0
konto 221 (Ansgar Efternamn3922, id 196906052391, kundnr 221): 212104.0
konto 222 (Anders Erik Efternamn1630, id 197403229292, kundnr 222): 212104.0
konto 223 (Eva Efternamn1291, id 197503259280, kundnr 223): 324023.0
konto 224 (Anna Efternamn2402, id 197510109247, kundnr 224): 215020.0
konto 225 (Malte Efternamn2602, id 197601272391, kundnr 225): 215028.0
konto 226 (Albert Morris Efternamn2874, id 197602282399, kundnr 226): 215028.0
konto 227 (Jan Efternamn3500, id 197603062394, kundnr 227): 325010.0
konto 228 (Camilla Efternamn2919, id 197604202387, kundnr 228): 215028.0
konto 229 (Marianne Efternamn1951, id 197604219423, kundnr 229): 324023.0
konto 230 (Astrid Maj Efternamn1375, id 197605012389, kundnr 230): 215028.0
konto 231 (Sara Efternamn2769, id 197605222384, kundnr 231): 215028.0
konto 232 (Nicolai Efternamn3694, id 197606032394, kundnr 232): 212104.0
konto 233 (Olga Efternamn1086, id 197606042385, kundnr 233): 212104.0
konto 234 (Daniela Efternamn2771, id 197607092389, kundnr 234): 325010.0
konto 235 (Mathilda Efternamn3695, id 197607132383, kundnr 235): 215028.0
konto 236 (Adis Efternamn2219, id 197608102393, kundnr 236): 215028.0
konto 237 (Marja Helena Efternamn2937, id 197608202383, kundnr 237): 325010.0
konto 238 (Nikita Efternamn2518, id 197609042382, kundnr 238): 215024.0
konto 239 (Georg Petter Efternamn3510, id 197610032398, kundnr 239): 215024.0
konto 240 (Ann Efternamn3640, id 197611212387, kundnr 240): 215028.0
konto 241 (Gunhild Margareta Efternamn3897, id 197612292388, kundnr 241): 215027.0
konto 242 (Larissa Efternamn2034, id 197701082385, kundnr 242): 212103.0
konto 243 (Håkan Johannes Efternamn2911, id 197701122397, kundnr 243): 215006.0
konto 244 (Belinda Efternamn2019, id 197701182383, kundnr 244): 215028.0
konto 245 (Tilia Efternamn1016, id 197701272382, kundnr 245): 215028.0
konto 246 (Petronella Efternamn2793, id 200202062386, kundnr 246): 215025.0
konto 247 (Nenento Eva Efternamn1161, id 200211152384, kundnr 247): 215020.0
konto 248 (Kajsa Efternamn2741, id 200212252381, kundnr 248): 212104.0
konto 249 (Anastasia Efternamn3009, id 200212312383, kundnr 249): 215025.0
konto 250 (Loo Efternamn1859, id 200309132389, kundnr 250): 215028.0
konto 251 (Sofia Vilma Thérese Efternamn2117, id 200502082381, kundnr 251): 215028.0
konto 252 (Molly Efternamn3088, id 200509072385, kundnr 252): 212104.0
konto 253 (Elinor Efternamn2160, id 197603222386, kundnr 253): 215028.0
konto 254 (Fatma Efternamn2579, id 197608192386, kundnr 254): 215028.0
konto 255 (Therese Maria Efternamn2640, id 200901132381, kundnr 255): 324024.0
konto 256 (Olle Efternamn1631, id 199903202399, kundnr 256): 215028.0
konto 257 (Malin Efternamn1744, id 200607112380, kundnr 257): 212104.0
konto 258 (Anita Efternamn3276, id 200702162389, kundnr 258): 215006.0
konto 259 (Maja Efternamn2108, id 200706152386, kundnr 259): 212104.0
konto 260 (Jurgen Stefan Efternamn3802, id 200706252392, kundnr 260): 215028.0
konto 261 (Thérese Anna Efternamn1208, id 200710112384, kundnr 261): 325010.0
konto 262 (Lisa Efternamn3357, id 200712042381, kundnr 262): 212104.0
konto 263 (Signe Efternamn2208, id 200801212382, kundnr 263): 325010.0
konto 264 (Moa Lilliann Efternamn2767, id 200802162388, kundnr 264): 212104.0
konto 265 (Lene Evangelina Efternamn2914, id 200803052380, kundnr 265): 212104.0
konto 266 (Ulrika Efternamn1188, id 200804282382, kundnr 266): 324024.0
konto 267 (Minna Efternamn2362, id 200805262383, kundnr 267): 215024.0
konto 268 (anna-karin eva Efternamn3561, id 200806052387, kundnr 268): 215028.0
konto 269 (Ylva Efternamn2705, id 200808072383, kundnr 269): 215028.0
konto 270 (Alfhild Sofia Efternamn2087, id 200812292381, kundnr 270): 324024.0
konto 271 (Wilhelm Andreas Efternamn2089, id 200901112391, kundnr 271): 215028.0
konto 272 (Laura Efternamn2147, id 198002082389, kundnr 272): 212104.0
konto 273 (Mika Sakarias Efternamn1800, id 198002232398, kundnr 273): 325010.0
konto 274 (Jonas Efternamn1264, id 198202282391, kundnr 274): 215024.0
konto 275 (Fiona Efternamn1659, id 197710072385, kundnr 275): 215028.0
konto 276 (Marilla Efternamn1074, id 197805169302, kundnr 276): 212103.0
konto 277 (Mikael Efternamn1604, id 197910092399, kundnr 277): 324024.0
konto 278 (Sanna Efternamn2897, id 197910252381, kundnr 278): 215028.0
konto 279 (Victoria Efternamn3231, id 197704122386, kundnr 279): 215028.0
konto 280 (Jennie Efternamn1973, id 194603213424, kundnr 280): 215020.0
konto 281 (Håkan Evert Efternamn2974, id 196009172336, kundnr 281): 215016.0
konto 282 (Ruggero Efternamn2800, id 196104032898, kundnr 282): 212103.0
konto 283 (Jennifer Sea Efternamn2047, id 196506232880, kundnr 283): 215016.0
konto 284 (Zaman Efternamn3312, id 197602292398, kundnr 284): 215028.0
konto 285 (Monika Efternamn2220, id 199304132385, kundnr 285): 215028.0
konto 286 (Linnéa Sofi Efternamn2767, id 199307192386, kundnr 286): 215028.0
konto 287 (Pekka Hubertus Efternamn1526, id 199401084091, kundnr 287): 215002.0
konto 288 (Maria Efternamn2370, id 199401182382, kundnr 288): 212104.0
konto 289 (Robin Efternamn1277, id 199407012393, kundnr 289): 324024.0
konto 290 (Karima Efternamn1159, id 199501012380, kundnr 290): 215002.0
konto 291 (Rose Efternamn2352, id 199601259725, kundnr 291): 212104.0
konto 292 (Sten Efternamn1094, id 199701022395, kundnr 292): 212104.0
konto 293 (Karina Efternamn1306, id 199801012387, kundnr 293): 325010.0
konto 294 (Kina Efternamn3931, id 199801016685, kundnr 294): 215027.0
konto 295 (Min Efternamn1718, id 199810012394, kundnr 295): 215024.0
konto 296 (Niklas Efternamn1094, id 199901022393, kundnr 296): 212104.0
konto 297 (Martin Efternamn2317, id 199902022392, kundnr 297): 215028.0
konto 298 (Ali Efternamn3691, id 199902152397, kundnr 298): 215024.0
konto 299 (Max Efternamn2309, id 199902262394, kundnr 299): 215028.0
konto 300 (Ylva Efternamn3867, id 199905262383, kundnr 300): 215028.0
konto 301 (Timo Efternamn2112, id 199906302394, kundnr 301): 215028.0
konto 302 (Sara Efternamn3248, id 199907082383, kundnr 302): 325010.0
konto 303 (Tilda Efternamn1424, id 199907142385, kundnr 303): 215028.0
konto 304 (Moa Efternamn2152, id 199908012389, kundnr 304): 215016.0
konto 305 (Mia Zara Efternamn1607, id 200006172381, kundnr 305): 324024.0
konto 306 (Mats Efternamn3527, id 200008192395, kundnr 306): 212104.0
konto 307 (Mikael Efternamn1042, id 200010202398, kundnr 307): 212104.0
konto 308 (Stewart Martin Efternamn3323, id 200011012390, kundnr 308): 212104.0
konto 309 (Jane Efternamn1471, id 200011122389, kundnr 309): 212104.0
konto 310 (Kelly Efternamn2755, id 200104142385, kundnr 310): 324023.0
konto 311 (Alexander Efternamn3403, id 198308172397, kundnr 311): 215025.0
konto 312 (Lennart Efternamn3249, id 198308292393, kundnr 312): 215020.0
konto 313 (Eleonora Efternamn3825, id 198308312381, kundnr 313): 215024.0
konto 314 (Max Efternamn3628, id 198309252396, kundnr 314): 215028.0
konto 315 (Algot Efternamn1954, id 198310172393, kundnr 315): 325010.0
konto 316 (Gun Efternamn2321, id 198311192382, kundnr 316): 212104.0
konto 317 (Aldin Efternamn2155, id 198312062394, kundnr 317): 325010.0
konto 318 (Ellinore Efternamn2707, id 198312319281, kundnr 318): 325010.0
konto 319 (Sara Efternamn1387, id 198401122380, kundnr 319): 325016.0
konto 320 (Morgan Efternamn1188, id 198401192391, kundnr 320): 215028.0
konto 321 (Pernilla Efternamn2697, id 198905212380, kundnr 321): 212104.0
konto 322 (Frej Efternamn1613, id 198905232396, kundnr 322): 215028.0
konto 323 (Isabell Efternamn3264, id 198906022382, kundnr 323): 215028.0
konto 324 (Teddie Efternamn2106, id 198907162393, kundnr 324): 215028.0
konto 325 (Gilly Efternamn2441, id 198907202397, kundnr 325): 215028.0
konto 326 (Martha Efternamn3959, id 198907232386, kundnr 326): 215028.0
konto 327 (Meja Efternamn1339, id 198907282381, kundnr 327): 215028.0
konto 328 (Eren Efternamn1437, id 198908022398, kundnr 328): 215028.0
konto 329 (Frode Efternamn3264, id 198908152393, kundnr 329): 215028.0
konto 330 (Karl Efternamn1369, id 198911012394, kundnr 330): 215028.0
konto 331 (Sofi Efternamn3348, id 199002102383, kundnr 331): 212104.0
konto 332 (Antonia Efternamn3056, id 198403052387, kundnr 332): 215028.0
konto 333 (Anna Efternamn3432, id 198403092383, kundnr 333): 215006.0
konto 334 (Ellie Efternamn3255, id 198403112389, kundnr 334): 325010.0
konto 335 (Anders Efternamn2315, id 198403192399, kundnr 335): 325010.0
konto 336 (Vidar Efternamn2710, id 198404242391, kundnr 336): 212104.0
konto 337 (Ali Efternamn1393, id 198405092399, kundnr 337): 325010.0
konto 338 (Johan Efternamn3047, id 198405132393, kundnr 338): 325010.0
konto 339 (Ellie Efternamn2503, id 198405292387, kundnr 339): 325010.0
konto 340 (Gregory John Efternamn1035, id 198405312391, kundnr 340): 215020.0
konto 341 (Ettan Efternamn3435, id 198406012388, kundnr 341): 215020.0
konto 342 (Sture Efternamn3618, id 198406272396, kundnr 342): 215028.0
konto 343 (Anthony Efternamn2876, id 198407132391, kundnr 343): 325010.0
konto 344 (Astrid Lilian Efternamn1958, id 198407142382, kundnr 344): 324024.0
konto 345 (Cecilia Efternamn2154, id 198407192387, kundnr 345): 215028.0
konto 346 (Anton Efternamn3257, id 198407212391, kundnr 346): 325010.0
konto 347 (Engla Efternamn2158, id 198408032384, kundnr 347): 324024.0
konto 348 (Anders Efternamn2696, id 198408182395, kundnr 348): 215028.0
konto 349 (Anders Efternamn1397, id 198409062398, kundnr 349): 325010.0
konto 350 (Erika Efternamn2507, id 198409182386, kundnr 350): 324024.0
konto 351 (Peter Efternamn1040, id 198409222398, kundnr 351): 212104.0
konto 352 (Embla Efternamn1586, id 198409302380, kundnr 352): 325010.0
konto 353 (Viktoria Efternamn1202, id 198410232386, kundnr 353): 215028.0
konto 354 (Ante Efternamn3444, id 198412282397, kundnr 354): 324024.0
konto 355 (Tina Efternamn1943, id 198501022381, kundnr 355): 215028.0
konto 356 (Estrid Efternamn2719, id 198501082385, kundnr 356): 324024.0
konto 357 (Evelina Efternamn3067, id 198501232386, kundnr 357): 324024.0
konto 358 (Liselott Efternamn1030, id 198501242385, kundnr 358): 325016.0
konto 359 (Curt-Göran Efternamn1951, id 198501302395, kundnr 359): 324023.0
konto 360 (Eveline Efternamn1045, id 198502089884, kundnr 360): 324024.0
konto 361 (Adrian Efternamn2881, id 198502142394, kundnr 361): 325010.0
konto 362 (Ebbe Östen Efternamn3247, id 198502152393, kundnr 362): 215020.0
konto 363 (Veronica Efternamn1046, id 198502272381, kundnr 363): 212104.0
